id,is_classification,groundtruth,error_type
74669249,0,11,1
74200607,0,"0,1,2",3
73567385,1,9,4
73308371,1,3,1
73275569,1,9,3
72965428,1,5,1
72802464,1,3,3
72744278,1,5,3
72676542,1,13,1
71715697,1,"11,12,13,14",4
70650848,1,6,1
70589997,1,9,1
70148149,1,6,1
69901379,0,"1,2,3,4",3
69787272,1,2,1
68938619,1,1,1
68751439,1,3,3
68458462,0,"0,1,2",3
68321264,1,6,3
68101077,1,2,1
67529687,1,21,1
66840108,0,2,1
66602662,1,5,1
66407123,1,2,1
66235657,1,6,1
66087653,1,6,1
65777704,1,"0,1,2,3,4",1
65669308,1,3,1
64413907,1,2,1
64395424,1,2,1
64387251,1,1,1
64237179,1,"27,28,29",1
63212385,1,15,1
62957334,1,"0,2,4",1
62440336,0,5,1
62313327,0,1,1
62068109,1,9,1
62055783,1,10,1
61997645,1,4,1
61886777,1,6,1
61763616,1,8,1
61498304,1,13,1
61274792,1,4,1
61234347,1,"0,1,2,3,4,5,6",2
60874661,1,14,1
60831731,0,"0,1",1
60801900,0,5,1
60766775,0,6,1
60574843,0,3,1
60508218,1,7,3
60355380,1,13,1
59758722,0,2,1
59278771,1,"0,1",2
59078187,0,2,1
58844149,1,9,1
58609115,1,"0,1,2",1
58572274,1,2,3
58392266,1,21,1
58333926,1,6,1
58064701,1,2,1
58055105,1,2,1
58051767,0,2,1
58043002,1,"0,2,4",2
57943425,1,22,1
57516678,1,2,1
57407973,1,"0,1,3,5,7,9",2
57397440,1,4,1
57326611,1,1,1
56774954,0,3,1
56452176,0,2,1
56218256,1,3,1
55198221,1,8,1
54811239,0,2,1
54738769,0,6,1
54282951,1,4,1
54064299,1,6,1
53749895,0,2,1
53700537,1,6,1
52983831,1,2,1
52566823,0,2,1
51930566,1,1,1
51901386,1,15,1
51749207,1,5,1
51581521,1,21,1
51185079,1,5,1
50914860,1,6,1
50555434,0,3,1
50338865,1,2,1
50079585,1,9,3
49583466,0,"0,1,2",2
48976413,0,2,1
48486598,0,1,1
48385830,1,"0,1",1
48251943,0,1,1
48221692,0,1,1
47735201,1,12,1
47704695,1,22,1
47352366,1,9,1
47241622,1,1,1
46995209,0,"0,1,2,3,4,5,6,7,8,9,10",1
46869312,0,2,1
46642627,0,2,1
46247619,0,7,1
45378493,1,12,1
45337371,1,2,1
44758894,1,4,1
44755431,1,13,4
44066044,1,2,1
43055289,1,3,4
42800203,1,2,1
42514960,0,"0,1,2,3,4,5",1
42472447,1,4,1
41999686,1,10,1
41823068,1,3,1
41600519,1,"0,2,4",3
41596619,1,1,1
34673164,1,4,1
34311586,1,2,1
33969059,0,4,1
31880720,1,7,1
31627380,1,2,3
